Sub_Number,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,Distance,PeakVelocity
76,10220542.0,10220718.0,177.0,990.0,577.4,925.7,581.2,1.18,666.0
76,10221699.0,10221721.0,23.0,949.7,605.4,978.7,533.9,1.83,139.0
76,10222507.0,10222695.0,189.0,974.9,565.7,1015.1,535.3,1.05,456.0
76,10222899.0,10223069.0,171.0,1009.4,538.1,925.2,536.0,1.54,932.0
76,10223249.0,10223271.0,23.0,924.2,531.8,992.3,570.3,1.57,141.0
76,10223455.0,10223471.0,17.0,981.1,566.3,969.1,528.9,0.95,85.0
76,10224262.0,10224503.0,242.0,967.2,555.5,824.0,568.4,2.63,153.0
76,10224645.0,10224710.0,66.0,832.7,570.1,266.0,1016.7,14.18,602.0
76,10224889.0,10224984.0,96.0,277.7,1054.4,990.5,574.0,16.47,576.0
76,10225235.0,10225258.0,24.0,988.5,578.5,964.6,549.7,0.83,108.0
76,10225942.0,10225956.0,15.0,967.4,555.2,958.7,532.3,0.59,50.0
76,10227033.0,10227039.0,7.0,965.5,519.1,981.8,519.2,0.3,43.0
76,10227247.0,10227254.0,8.0,973.0,525.5,954.0,533.6,0.4,54.0
76,10227984.0,10227995.0,12.0,956.7,548.2,995.9,543.7,0.73,71.0
76,10228250.0,10228266.0,17.0,995.3,560.0,954.2,569.2,0.78,73.0
76,10228538.0,10228550.0,13.0,980.4,558.7,949.1,545.4,0.66,63.0
76,10229776.0,10229892.0,117.0,955.2,539.3,966.1,509.1,0.78,439.0
76,10230490.0,10230537.0,48.0,953.3,528.3,-99.0,-99.0,-99.0,747.0
76,10230561.0,10230660.0,100.0,-99.0,-99.0,965.7,524.2,-99.0,491.0
76,10231570.0,10231751.0,182.0,972.2,540.5,925.0,543.6,0.87,836.0
76,10231913.0,10231932.0,20.0,934.5,544.7,1002.7,528.1,1.31,113.0
76,10232271.0,10232294.0,24.0,997.1,532.6,934.1,519.9,1.2,120.0
76,10232851.0,10232861.0,11.0,950.0,520.8,979.0,534.8,0.63,67.0
76,10233480.0,10233675.0,196.0,978.4,542.1,922.9,496.5,1.52,660.0
76,10233862.0,10233936.0,75.0,934.5,492.5,434.0,986.8,14.48,439.0
76,10234093.0,10234141.0,49.0,450.7,1016.0,956.7,584.5,13.29,508.0
76,10234382.0,10234415.0,34.0,1012.9,566.1,947.2,575.2,1.22,162.0
76,10234567.0,10234584.0,18.0,940.1,580.2,974.1,540.4,1.16,108.0
76,10235400.0,10235616.0,217.0,973.7,562.8,956.7,542.0,0.6,200.0
76,10236498.0,10236503.0,6.0,957.4,537.9,951.6,528.9,0.25,43.0
76,10237374.0,10237447.0,74.0,956.6,530.7,393.0,860.6,12.66,400.0
76,10237692.0,10237846.0,155.0,401.1,897.1,922.9,585.2,11.73,1008.0
76,10238115.0,10238138.0,24.0,926.2,574.1,939.9,508.1,1.65,125.0
76,10239162.0,10239184.0,23.0,928.1,532.3,1005.2,517.9,1.46,130.0
76,10239428.0,10239556.0,129.0,983.1,539.1,970.3,560.5,0.58,255.0
76,10239885.0,10239897.0,13.0,968.9,554.1,958.5,526.7,0.7,70.0
76,10241142.0,10241151.0,10.0,964.5,531.1,951.8,514.5,0.47,52.0
76,10242904.0,10243084.0,181.0,959.5,552.6,970.3,574.6,0.58,540.0
76,10244653.0,10244881.0,229.0,957.9,562.3,943.4,527.9,0.89,282.0
76,10245660.0,10245669.0,10.0,931.2,514.1,961.0,517.4,0.55,63.0
76,10246235.0,10246409.0,175.0,955.7,554.4,941.7,573.9,0.54,915.0
76,10246646.0,10246662.0,17.0,941.2,564.1,982.3,527.0,1.19,98.0
76,10247557.0,10247568.0,12.0,975.1,543.9,950.2,528.7,0.59,59.0
76,10248248.0,10248466.0,219.0,970.3,568.7,752.7,655.7,4.48,182.0
76,10248598.0,10248636.0,39.0,753.5,650.4,1095.0,526.4,6.9,327.0
76,10248934.0,10249000.0,67.0,1089.3,539.1,879.6,547.5,3.84,256.0
76,10249092.0,10249116.0,25.0,883.9,548.0,991.7,543.0,1.98,174.0
76,10249308.0,10249317.0,10.0,980.5,538.8,953.6,543.6,0.51,56.0
76,10249907.0,10250143.0,237.0,962.8,555.4,998.0,592.3,1.11,840.0
76,10250463.0,10250487.0,25.0,1001.6,591.4,963.9,545.3,1.33,143.0
76,10251234.0,10251245.0,12.0,961.8,555.3,957.2,534.5,0.52,52.0
76,10251867.0,10252121.0,255.0,975.1,560.1,988.5,568.3,0.32,273.0
76,10252496.0,10252514.0,19.0,991.2,569.4,931.2,546.9,1.23,97.0
76,10253026.0,10253032.0,7.0,955.0,558.6,965.4,549.2,0.3,45.0
76,10253798.0,10253980.0,183.0,965.6,558.2,921.8,559.7,0.8,1005.0
76,10254158.0,10254171.0,14.0,921.9,547.2,970.1,532.9,0.95,86.0
76,10254523.0,10254554.0,32.0,986.2,587.3,-99.0,-99.0,-99.0,961.0
76,10254580.0,10254687.0,108.0,-99.0,-99.0,917.8,614.4,-99.0,88.0
76,10254812.0,10254829.0,18.0,922.3,599.8,966.0,557.9,1.3,111.0
76,10255800.0,10255951.0,152.0,975.8,582.1,980.0,536.1,1.14,359.0
76,10257528.0,10257735.0,208.0,1026.5,770.0,901.1,516.5,6.52,922.0
76,10257924.0,10257948.0,25.0,900.0,509.6,1022.9,524.0,2.28,185.0
76,10258214.0,10258253.0,40.0,1012.3,536.4,951.8,529.1,1.12,157.0
76,10259323.0,10259553.0,231.0,956.4,663.4,955.6,549.8,2.77,671.0
76,10260201.0,10260207.0,7.0,965.1,533.8,968.0,518.4,0.39,79.0
76,10261304.0,10261419.0,116.0,960.3,529.6,947.7,542.6,0.4,508.0
76,10261712.0,10261879.0,168.0,948.5,529.4,945.2,482.3,1.17,952.0
76,10262065.0,10262253.0,189.0,941.4,492.3,955.8,549.1,1.43,760.0
76,10262968.0,10263137.0,170.0,955.4,565.3,953.9,539.3,0.64,853.0
76,10263323.0,10263347.0,25.0,959.3,530.9,1076.9,509.7,2.22,162.0
76,10263563.0,10263589.0,27.0,1064.5,508.7,918.5,519.0,2.69,196.0
76,10263767.0,10263785.0,19.0,943.4,524.5,1012.3,521.0,1.27,109.0
76,10264100.0,10264114.0,15.0,1004.3,525.6,957.7,537.5,0.9,80.0
76,10265062.0,10265232.0,171.0,973.2,557.2,975.2,531.6,0.63,1053.0
76,10266003.0,10266009.0,7.0,970.3,527.9,951.8,530.6,0.35,49.0
76,10267151.0,10267397.0,247.0,962.9,506.7,968.8,549.0,1.05,144.0
76,10267600.0,10267624.0,25.0,976.4,552.4,941.1,507.0,1.3,128.0
76,10267836.0,10267854.0,19.0,952.1,518.0,953.0,565.7,1.18,102.0
76,10268861.0,10269046.0,186.0,960.4,576.8,954.7,558.4,0.46,99.0
76,10270836.0,10270902.0,67.0,949.8,551.4,336.1,879.0,13.26,469.0
76,10271066.0,10271123.0,58.0,336.1,905.8,953.2,592.3,13.05,498.0
76,10271330.0,10271353.0,24.0,992.1,576.3,944.3,550.4,1.08,124.0
76,10272584.0,10272595.0,12.0,943.0,551.9,967.4,532.5,0.66,63.0
76,10274328.0,10274571.0,244.0,963.4,554.4,978.7,533.3,0.59,876.0
76,10276222.0,10276426.0,205.0,962.6,561.1,944.0,517.2,1.14,965.0
76,10277083.0,10277089.0,7.0,961.3,512.7,946.4,513.6,0.27,42.0
76,10277862.0,10278088.0,227.0,913.8,460.3,920.9,533.1,1.82,197.0
76,10278283.0,10278301.0,19.0,924.0,528.7,987.8,510.2,1.26,110.0
76,10278935.0,10278944.0,10.0,929.6,520.0,957.5,526.0,0.53,60.0
76,10280024.0,10280218.0,195.0,949.7,535.8,885.2,534.5,1.18,951.0
76,10280375.0,10280392.0,18.0,892.7,532.3,954.9,526.3,1.15,101.0
76,10281815.0,10281999.0,185.0,953.1,565.4,957.3,574.8,0.24,77.0
76,10282607.0,10282617.0,11.0,952.6,570.0,956.2,550.2,0.49,49.0
76,10283471.0,10283677.0,207.0,955.0,562.0,938.5,543.6,0.55,530.0
76,10284499.0,10284509.0,11.0,924.2,560.0,949.0,543.7,0.61,63.0
76,10285363.0,10285441.0,79.0,950.4,581.5,955.8,567.2,0.36,718.0
76,10285559.0,10285729.0,171.0,956.9,552.9,968.2,555.6,0.22,836.0
76,10286206.0,10286220.0,15.0,983.3,560.5,998.6,524.2,0.94,80.0
76,10286393.0,10286407.0,15.0,996.1,522.9,950.6,530.2,0.85,79.0
76,10287336.0,10287341.0,6.0,966.7,535.0,976.7,530.6,0.21,37.0
76,10289209.0,10289395.0,187.0,980.0,526.0,967.6,539.8,0.41,948.0
76,10290024.0,10290031.0,8.0,972.3,539.6,964.2,526.4,0.36,49.0
76,10290861.0,10290882.0,22.0,965.4,533.3,1017.0,511.5,1.09,96.0
76,10290976.0,10291150.0,175.0,1016.4,525.4,975.3,547.6,0.93,973.0
76,10291526.0,10291558.0,33.0,975.7,544.6,953.4,518.5,0.76,88.0
76,10291866.0,10291876.0,11.0,955.0,520.5,980.4,537.7,0.63,70.0
76,10292485.0,10292622.0,138.0,967.8,553.8,953.8,536.7,0.49,863.0
76,10292949.0,10293187.0,239.0,951.7,535.9,967.9,564.1,0.76,976.0
76,10293359.0,10293378.0,20.0,969.1,555.2,936.4,539.9,0.71,81.0
76,10293622.0,10293631.0,10.0,938.2,539.5,956.8,523.1,0.53,59.0
76,10294767.0,10294779.0,13.0,964.0,524.6,990.0,506.5,0.66,64.0
76,10296429.0,10296609.0,181.0,973.8,542.2,968.4,566.6,0.61,638.0
76,10296843.0,10296853.0,11.0,969.3,553.2,975.3,533.0,0.51,53.0
76,10297075.0,10297108.0,34.0,975.2,535.4,948.1,507.2,0.86,113.0
76,10297317.0,10297333.0,17.0,946.1,519.0,986.2,552.4,1.11,96.0
76,10298130.0,10298211.0,82.0,985.7,560.3,932.2,556.0,0.98,651.0
76,10298394.0,10298578.0,185.0,935.2,550.0,987.0,509.9,1.37,1062.0
76,10299176.0,10299192.0,17.0,927.4,511.9,983.1,502.1,1.05,93.0
76,10300087.0,10300297.0,211.0,973.6,537.5,969.4,539.3,0.09,731.0
76,10302204.0,10302406.0,203.0,973.2,560.8,979.6,544.4,0.42,341.0
76,10302616.0,10302659.0,44.0,982.8,540.8,923.3,523.4,1.17,169.0
76,10302827.0,10302846.0,20.0,922.0,532.7,989.0,539.4,1.24,108.0
76,10303038.0,10303043.0,6.0,975.8,537.0,965.4,530.4,0.25,38.0
76,10303955.0,10304118.0,164.0,962.7,547.9,980.3,546.0,0.33,148.0
76,10304430.0,10304449.0,20.0,971.8,542.8,949.3,511.1,0.89,90.0
76,10305675.0,10305769.0,95.0,954.6,534.7,1011.5,516.9,1.13,697.0
76,10305791.0,10306040.0,250.0,1011.7,518.5,967.6,551.7,1.15,580.0
76,10307574.0,10307874.0,301.0,970.3,565.3,958.1,564.9,0.22,643.0
76,10308074.0,10308090.0,17.0,961.4,549.6,966.8,510.3,0.98,95.0
76,10309574.0,10309714.0,141.0,969.9,554.8,908.0,529.1,1.3,398.0
76,10309869.0,10309887.0,19.0,915.1,526.6,983.4,527.5,1.25,108.0
76,10310159.0,10310178.0,20.0,974.5,529.0,947.7,512.5,0.64,82.0
76,10310397.0,10310409.0,13.0,948.4,518.8,980.6,532.8,0.68,68.0
76,10311164.0,10311330.0,167.0,968.4,555.1,950.7,525.7,0.8,1017.0
76,10311615.0,10311793.0,179.0,957.9,530.6,977.1,538.5,0.4,997.0
76,10313156.0,10313350.0,195.0,971.5,546.6,825.3,557.4,2.69,970.0
76,10313488.0,10313517.0,30.0,827.0,552.1,1021.8,504.6,3.75,254.0
76,10313759.0,10313790.0,32.0,1019.4,517.8,975.2,518.5,0.81,150.0
76,10315148.0,10315318.0,171.0,966.9,542.4,941.3,535.7,0.5,445.0
76,10315882.0,10315888.0,7.0,980.9,546.4,965.3,543.0,0.3,44.0
76,10316650.0,10316908.0,259.0,954.9,551.2,962.1,548.7,0.15,847.0
76,10317732.0,10317739.0,8.0,957.3,538.7,978.5,537.9,0.39,51.0
76,10318793.0,10318997.0,205.0,962.5,562.5,955.8,554.4,0.23,779.0
76,10322491.0,10322509.0,19.0,966.1,552.7,1017.8,533.0,1.06,92.0
76,10322668.0,10322863.0,196.0,1018.0,550.7,926.3,541.3,1.69,1063.0
76,10323188.0,10323198.0,11.0,939.9,536.9,976.3,539.0,0.67,71.0
76,10324353.0,10324373.0,21.0,979.6,551.7,899.3,541.1,1.49,126.0
76,10324419.0,10324541.0,123.0,914.8,562.4,971.4,558.7,1.04,167.0
76,10326204.0,10326211.0,8.0,968.9,548.8,956.3,537.1,0.37,47.0
76,10327773.0,10327927.0,155.0,974.5,554.9,972.9,570.0,0.37,157.0
76,10328061.0,10328265.0,205.0,978.0,578.8,929.1,546.2,1.2,821.0
76,10328395.0,10328409.0,15.0,937.9,546.0,986.6,528.9,0.99,82.0
76,10329722.0,10329896.0,175.0,978.4,557.0,944.1,549.4,0.65,974.0
76,10330650.0,10330659.0,10.0,945.6,549.9,977.2,552.0,0.58,66.0
76,10331766.0,10331865.0,100.0,963.4,559.8,967.8,553.0,0.19,322.0
76,10331970.0,10332086.0,117.0,969.4,560.5,944.7,605.1,1.18,931.0
76,10332323.0,10332346.0,24.0,946.8,592.8,968.0,547.5,1.18,84.0
76,10333615.0,10333621.0,7.0,949.2,547.9,959.0,539.0,0.28,43.0
76,10335209.0,10335409.0,201.0,970.1,553.4,930.5,515.7,1.18,704.0
76,10335676.0,10335692.0,17.0,934.9,532.1,993.7,542.4,1.11,100.0
76,10337189.0,10337196.0,8.0,971.7,549.3,982.9,536.0,0.39,50.0
76,10337398.0,10337580.0,183.0,975.2,537.7,964.5,543.9,0.25,211.0
76,10338815.0,10339027.0,213.0,978.7,568.4,946.7,536.6,0.98,875.0
76,10341099.0,10341290.0,192.0,959.0,468.2,965.7,532.5,1.61,206.0
76,10342765.0,10343032.0,268.0,974.4,552.4,952.2,541.3,0.49,156.0
76,10343364.0,10343375.0,12.0,950.8,543.0,992.3,540.9,0.76,73.0
76,10344601.0,10344618.0,18.0,967.3,542.9,1003.4,512.2,1.01,84.0
76,10344806.0,10344990.0,185.0,939.0,530.0,942.5,572.4,1.05,171.0
76,10345204.0,10345214.0,11.0,950.2,559.4,954.3,533.7,0.64,72.0
76,10346253.0,10346506.0,254.0,966.5,553.8,941.3,548.4,0.48,781.0
76,10346690.0,10346709.0,20.0,951.8,543.9,1007.5,520.9,1.17,110.0
76,10347301.0,10347312.0,12.0,993.2,535.8,958.6,542.4,0.65,65.0
76,10348284.0,10348454.0,171.0,962.7,561.3,958.1,546.3,0.38,462.0
76,10349170.0,10349178.0,9.0,959.0,553.9,959.8,538.0,0.39,49.0
76,10349963.0,10350160.0,198.0,966.3,566.9,959.6,548.4,0.47,305.0
76,10351023.0,10351031.0,9.0,964.0,548.9,977.3,536.6,0.39,49.0
76,10351731.0,10351985.0,255.0,968.5,559.0,971.8,499.0,1.49,852.0
76,10353664.0,10353839.0,176.0,869.7,461.3,872.2,518.1,1.42,160.0
76,10353982.0,10354057.0,76.0,869.3,506.2,228.1,1015.0,16.14,573.0
76,10354280.0,10354397.0,118.0,869.3,506.2,228.1,1015.0,15.06,0.0
76,10354663.0,10354680.0,18.0,988.4,502.9,959.5,536.7,0.99,97.0
76,10355389.0,10355669.0,281.0,962.3,557.7,971.6,547.9,0.3,789.0
76,10356046.0,10356069.0,24.0,973.4,553.5,890.3,537.7,1.57,155.0
76,10356370.0,10356386.0,17.0,908.1,546.5,969.2,556.7,1.14,102.0
76,10357255.0,10357449.0,195.0,967.2,562.4,918.8,548.4,0.95,141.0
76,10357976.0,10357989.0,14.0,924.6,531.3,973.4,530.7,0.89,84.0
76,10359152.0,10359409.0,258.0,969.8,561.4,917.6,504.6,1.7,159.0
76,10359975.0,10359979.0,5.0,973.5,547.4,970.1,539.7,0.2,58.0
76,10360185.0,10360198.0,14.0,968.6,547.2,945.5,531.4,0.58,65.0
76,10361293.0,10361321.0,29.0,952.2,542.0,762.5,549.7,3.47,234.0
76,10361496.0,10361526.0,31.0,773.4,548.9,982.2,522.0,3.88,261.0
76,10362885.0,10363025.0,141.0,936.1,551.0,939.7,572.5,0.53,154.0
76,10363295.0,10363310.0,16.0,941.9,546.6,990.0,538.3,0.9,89.0
76,10363538.0,10363598.0,61.0,978.7,564.7,-99.0,-99.0,-99.0,666.0
76,10363638.0,10363699.0,62.0,-99.0,-99.0,976.1,576.6,-99.0,244.0
76,10363962.0,10363971.0,10.0,969.8,556.5,961.3,538.1,0.48,55.0
76,10365156.0,10365170.0,15.0,966.9,537.4,987.4,506.1,0.86,82.0
76,10366624.0,10366841.0,218.0,949.7,524.1,953.0,557.1,0.82,233.0
76,10368652.0,10368844.0,193.0,960.1,574.7,965.4,556.5,0.46,519.0
76,10369473.0,10369478.0,6.0,989.2,542.1,976.2,544.5,0.25,42.0
76,10370324.0,10370629.0,306.0,990.8,566.9,980.8,553.6,0.38,971.0
76,10371321.0,10371330.0,10.0,985.4,558.4,973.8,540.3,0.49,55.0
76,10372288.0,10372523.0,236.0,986.3,568.2,978.2,529.3,0.97,965.0
76,10374232.0,10374416.0,185.0,980.1,558.5,998.0,555.3,0.34,568.0
76,10374675.0,10374697.0,23.0,1001.5,552.6,908.3,537.2,1.75,149.0
76,10374794.0,10374817.0,24.0,935.6,536.0,1063.4,542.3,2.34,197.0
76,10374961.0,10374983.0,23.0,1046.7,542.1,973.5,536.4,1.35,127.0
76,10375838.0,10376044.0,207.0,985.8,556.0,943.7,548.7,0.79,782.0
76,10376706.0,10376713.0,8.0,961.1,560.3,981.5,558.1,0.38,51.0
76,10376936.0,10376952.0,17.0,979.8,555.5,969.6,540.4,0.42,53.0
76,10377706.0,10377914.0,209.0,963.9,557.5,979.3,531.3,0.71,789.0
76,10416668.0,10416687.0,20.0,936.5,516.3,1016.0,498.7,1.52,125.0
76,10417041.0,10417051.0,11.0,1021.9,521.7,988.9,526.0,0.61,64.0
76,10417938.0,10418126.0,189.0,920.8,554.9,920.4,554.7,0.01,42.0
76,10418289.0,10418308.0,20.0,919.3,552.3,981.8,520.9,1.38,103.0
76,10418798.0,10418804.0,7.0,984.0,517.1,973.2,507.6,0.31,42.0
76,10419736.0,10419924.0,189.0,970.7,523.7,972.8,531.3,0.19,197.0
76,10420020.0,10420065.0,46.0,380.7,834.7,958.1,550.7,12.23,486.0
76,10420547.0,10420558.0,12.0,1013.9,542.3,983.0,527.7,0.67,67.0
76,10421312.0,10421507.0,196.0,970.4,542.7,876.8,605.7,2.3,612.0
76,10421660.0,10421688.0,29.0,874.5,581.7,1014.9,492.6,3.38,226.0
76,10422014.0,10422037.0,24.0,1006.6,521.1,929.1,527.5,1.43,141.0
76,10422255.0,10422267.0,13.0,941.8,539.1,979.9,549.8,0.75,73.0
76,10422443.0,10422453.0,11.0,977.3,546.7,972.8,520.1,0.66,70.0
76,10423175.0,10423381.0,207.0,979.6,514.5,980.6,529.9,0.38,157.0
76,10424946.0,10425142.0,197.0,961.4,515.5,964.2,540.3,0.62,116.0
76,10425397.0,10425413.0,17.0,960.4,517.3,1016.7,508.2,1.06,93.0
76,10426934.0,10427137.0,204.0,984.7,480.5,987.2,518.3,0.94,177.0
76,10427767.0,10427780.0,14.0,984.8,538.8,972.9,523.9,0.43,39.0
76,10428748.0,10428939.0,192.0,955.2,516.7,954.4,517.3,0.02,97.0
76,10429288.0,10429309.0,22.0,958.0,518.1,1039.4,510.7,1.5,123.0
76,10430815.0,10430949.0,135.0,965.6,504.8,965.5,506.0,0.03,54.0
76,10431522.0,10431528.0,7.0,965.8,516.6,980.7,515.2,0.28,42.0
76,10432398.0,10432676.0,279.0,967.2,524.3,980.0,579.2,1.37,538.0
76,10432953.0,10432976.0,24.0,981.4,589.8,932.0,528.9,1.75,156.0
76,10433493.0,10433499.0,7.0,951.6,538.4,967.0,534.5,0.3,43.0
76,10434217.0,10434314.0,98.0,968.9,546.6,939.0,526.1,0.75,744.0
