"","nTrialsWithSaccade","meanSaccades","grandMeanVel","grandMeanDurt","grandMeanAmp","CondShort","subNumber"
"1",10,1,69.3,16.1,0.72,"DN",84
"2",10,1.3,108.55,71.35,0.6725,"DW",84
"3",13,1,126.461538461538,55.1538461538462,1.03692307692308,"IN",84
"4",8,1,101.125,20.375,0.9875,"IW",84
"5",9,1,139,72.5555555555556,0.61125,"Single",84
"6",12,1,58.3333333333333,25.4166666666667,0.578333333333333,"Constant",84
