Sub_Number,TrialStart,TrialEnd,Trial_Number,Condition,Target_Contrast
83,2852583,2854364,472,FarLowWide,0.0630957344480193
83,2854416,2855233,473,ThreeLinesControl,0.0630957344480193
83,2856258,2857042,474,FarLowWide,0.07943282347242812
83,2858094,2859114,475,FarHighNarrow,0.025118864315095798
83,2859945,2860706,476,ThreeLinesControl,0.07943282347242812
83,2861796,2862538,477,FarLowNarrow,0.025118864315095794
83,2863650,2865447,478,FarLowWide,0.0630957344480193
83,2865501,2866410,479,FarLowWide_null,0.03981071705534971
83,2915716,2916870,480,FarHighWide,0.050118723362727206
83,2917565,2918414,481,FarHighWide,0.039810717055349706
83,2919417,2920199,482,FarHighWide,0.03162277660168378
83,2921268,2921919,483,FarHighNarrow,0.019952623149688792
83,2923118,2923903,484,FarHighWide,0.025118864315095787
83,2924971,2926769,485,FarLowWide,0.07943282347242812
83,2926821,2927631,486,FarLowWide,0.09999999999999998
83,2928672,2929327,487,ThreeLinesControl,0.0630957344480193
83,2930523,2931183,488,Constant,0.03162277660168378
83,2932373,2933232,489,FarHighWide,0.019952623149688785
83,2934222,2935232,490,FarLowNarrow,0.01995262314968879
83,2936073,2936888,491,Constant,0.025118864315095787
83,2937925,2938976,492,FarLowNarrow,0.015848931924611127
83,2939756,2940640,493,ThreeLinesControl,0.050118723362727206
83,2941592,2943362,494,FarHighNarrow,0.01584893192461113
83,2943415,2944217,495,FarHighNarrow,0.019952623149688792
83,2945267,2945833,496,FarLowWide,0.07943282347242812
83,2947100,2947817,497,FarHighNarrow,0.01584893192461113
83,2948953,2950233,498,FarLowWide,0.0630957344480193
83,2950805,2951865,499,FarLowWide,0.050118723362727206
83,2952653,2953425,500,Constant,0.019952623149688785
83,2954507,2955289,501,Constant,0.015848931924611124
83,2956358,2957074,502,FarHighWide,0.015848931924611124
83,2958212,2958898,503,FarLowNarrow,0.012589254117941666
83,2960059,2960738,504,FarLowWide,0.039810717055349706
83,2961909,2962690,505,FarHighNarrow,0.012589254117941668
83,2963759,2964482,506,Constant,0.012589254117941663
83,2965610,2966266,507,ThreeLinesControl,0.039810717055349706
83,2967459,2968186,508,Constant,0.009999999999999992
83,2969292,2971074,509,FarLowNarrow,0.009999999999999995
83,2971126,2971819,510,FarLowNarrow,0.012589254117941666
83,2972959,2973603,511,Constant,0.007943282347242809
83,2974803,2975395,512,FarLowNarrow,0.009999999999999995
83,2976654,2977355,513,FarLowNarrow,0.012589254117941666
83,2978503,2979051,514,FarLowWide,0.03162277660168378
83,2980357,2981771,515,FarHighWide,0.012589254117941663
83,2982207,2983188,516,FarLowWide,0.039810717055349706
83,2984060,2984924,517,FarHighWide,0.015848931924611124
83,2985909,2986836,518,FarHighWide,0.012589254117941663
83,2987761,2988516,519,FarLowNarrow,0.015848931924611127
83,2989611,2990324,520,FarLowNarrow,0.01995262314968879
83,2991461,2992380,521,FarLowWide,0.03162277660168378
