"","nTrialsWithSaccade","meanSaccades","grandMeanVel","grandMeanDurt","grandMeanAmp","CondShort","subNumber"
"1",12,1,90.5833333333333,18.6666666666667,0.809166666666667,"DN",78
"2",17,1,84.0588235294118,17.6470588235294,0.792352941176471,"IN",78
"3",6,1,65.8333333333333,14.3333333333333,0.603333333333333,"IW",78
"4",14,1.07142857142857,74.8571428571429,16.3214285714286,0.648571428571429,"Constant",78
"5",11,1,85.9090909090909,16.2727272727273,0.628181818181818,"Single",78
"6",8,1,64.5,14.25,0.54875,"DW",78
