"","nTrialsWithSaccade","meanSaccades","grandMeanVel","grandMeanDurt","grandMeanAmp","CondShort","subNumber"
"1",2,1,72.5,16,0.455,"DN",81
"2",2,1,54,12.5,0.345,"Constant",81
"3",2,1,57.5,16.5,0.41,"IN",81
"4",1,1,54,17,0.22,"IW",81
"5",1,1,258,46,3.36,"Single",81
"6",2,1,83.5,19.5,0.705,"DW",81
