"","nTrialsWithSaccade","meanSaccades","grandMeanVel","grandMeanDurt","grandMeanAmp","CondShort","subNumber"
"1",1,1,44,9,0.37,"Constant",88
"2",1,1,52,9,0.43,"Single",88
"3",2,1,47,13,0.26,"IN",88
"4",4,1,75.25,19.25,0.565,"DW",88
"5",5,1,48,9.2,0.408,"IW",88
"6",4,1,90.5,20.25,0.7175,"DN",88
