"","nTrialsWithSaccade","meanSaccades","grandMeanVel","grandMeanDurt","grandMeanAmp","CondShort","subNumber"
"1",3,1,60.6666666666667,16,0.316666666666667,"IN",77
"2",3,1,54.6666666666667,18,0.313333333333333,"IW",77
"3",3,1,74,20.6666666666667,0.34,"Single",77
"4",5,1,78.4,24,0.308,"Constant",77
"5",8,1,87,22.875,0.5075,"DW",77
"6",6,1,71.8333333333333,21.5,0.333333333333333,"DN",77
