"","nTrialsWithSaccade","meanSaccades","grandMeanVel","grandMeanDurt","grandMeanAmp","CondShort","subNumber"
"1",14,1.14285714285714,66.8928571428571,16.0714285714286,0.488214285714286,"Constant",82
"2",17,1.11764705882353,74.8235294117647,16.0882352941176,0.680588235294118,"IN",82
"3",11,1,69.0909090909091,14.4545454545455,0.670909090909091,"Single",82
"4",18,1.16666666666667,68.1944444444444,15.5,0.546944444444444,"DW",82
"5",12,1.25,80.25,18.25,0.657916666666667,"IW",82
"6",15,1,62.1333333333333,14,0.541333333333333,"DN",82
