0.9304 	WARNING 	Import Error: dlopen(/Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/PsychHID.abi3.so, 2): Symbol not found: ____chkstk_darwin
  Referenced from: /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib (which was built for Mac OS X 11.0)
  Expected in: /usr/lib/libSystem.B.dylib
 in /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib. Using event module for keyboard component.
137.7734 	DATA 	Keypress: right
138.6362 	DATA 	Trial 27 begins: FarHighWide_null | 0.1
138.8613 	DATA 	Stim Appears
139.0683 	DATA 	Stim Disappears
139.5574 	DATA 	Keypress: left
140.3686 	DATA 	Trial 28 begins: FarLowWide | 0.07943282347242815
140.6021 	DATA 	Stim Appears
140.8115 	DATA 	Stim Disappears
141.2615 	DATA 	Keypress: right
142.1118 	DATA 	Trial 29 begins: FarLowWide | 0.06309573444801932
142.3440 	DATA 	Stim Appears
142.5522 	DATA 	Stim Disappears
143.2535 	DATA 	Keypress: right
143.8525 	DATA 	Trial 30 begins: FarHighWide | 0.06309573444801932
144.0807 	DATA 	Stim Appears
144.2979 	DATA 	Stim Disappears
145.1015 	DATA 	Keypress: right
145.5982 	DATA 	Trial 31 begins: FarLowNarrow | 0.05011872336272722
145.8305 	DATA 	Stim Appears
146.0475 	DATA 	Stim Disappears
146.5575 	DATA 	Keypress: right
147.3478 	DATA 	Trial 32 begins: FarLowNarrow | 0.03981071705534971
147.5811 	DATA 	Stim Appears
147.7969 	DATA 	Stim Disappears
148.2935 	DATA 	Keypress: right
149.0971 	DATA 	Trial 33 begins: FarLowWide | 0.05011872336272722
149.3335 	DATA 	Stim Appears
149.5504 	DATA 	Stim Disappears
150.0855 	DATA 	Keypress: right
150.8506 	DATA 	Trial 34 begins: FarHighNarrow_null | 0.1
151.0836 	DATA 	Stim Appears
151.3005 	DATA 	Stim Disappears
151.9815 	DATA 	Keypress: left
152.6007 	DATA 	Trial 35 begins: Constant | 0.05011872336272722
152.8329 	DATA 	Stim Appears
153.0499 	DATA 	Stim Disappears
153.5734 	DATA 	Keypress: right
154.3502 	DATA 	Trial 36 begins: FarLowWide | 0.03981071705534971
154.5860 	DATA 	Stim Appears
154.8022 	DATA 	Stim Disappears
155.3094 	DATA 	Keypress: right
156.1025 	DATA 	Trial 37 begins: FarHighNarrow | 0.06309573444801932
156.3358 	DATA 	Stim Appears
156.5517 	DATA 	Stim Disappears
157.1176 	DATA 	Keypress: right
157.8519 	DATA 	Trial 38 begins: FarLowNarrow | 0.031622776601683784
158.0855 	DATA 	Stim Appears
158.3024 	DATA 	Stim Disappears
159.1735 	DATA 	Keypress: right
159.6027 	DATA 	Trial 39 begins: FarHighWide | 0.05011872336272722
159.8350 	DATA 	Stim Appears
160.0520 	DATA 	Stim Disappears
161.1174 	DATA 	Keypress: right
161.3522 	DATA 	Trial 40 begins: FarHighWide | 0.05011872336272722
161.5857 	DATA 	Stim Appears
161.8020 	DATA 	Stim Disappears
162.6295 	DATA 	Keypress: right
163.1022 	DATA 	Trial 41 begins: FarLowWide | 0.031622776601683784
163.3355 	DATA 	Stim Appears
163.5523 	DATA 	Stim Disappears
164.2934 	DATA 	Keypress: right
164.8526 	DATA 	Trial 42 begins: FarHighNarrow | 0.05011872336272722
165.0862 	DATA 	Stim Appears
165.3019 	DATA 	Stim Disappears
165.9656 	DATA 	Keypress: right
166.6021 	DATA 	Trial 43 begins: FarLowNarrow | 0.02511886431509579
166.8357 	DATA 	Stim Appears
167.0527 	DATA 	Stim Disappears
167.7014 	DATA 	Keypress: right
168.3529 	DATA 	Trial 44 begins: FarHighNarrow | 0.03981071705534971
168.5850 	DATA 	Stim Appears
168.7943 	DATA 	Stim Disappears
169.4936 	DATA 	Keypress: right
170.0945 	DATA 	Trial 45 begins: FarHighNarrow | 0.031622776601683784
170.3281 	DATA 	Stim Appears
170.5351 	DATA 	Stim Disappears
171.3176 	DATA 	Keypress: right
171.8353 	DATA 	Trial 46 begins: FarLowWide | 0.02511886431509579
172.0687 	DATA 	Stim Appears
172.2779 	DATA 	Stim Disappears
