0.9229 	WARNING 	Import Error: dlopen(/Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/PsychHID.abi3.so, 2): Symbol not found: ____chkstk_darwin
  Referenced from: /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib (which was built for Mac OS X 11.0)
  Expected in: /usr/lib/libSystem.B.dylib
 in /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib. Using event module for keyboard component.
5.1169 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1920, 1080]. Using actual size
14.1304 	DATA 	Keypress: right
14.8177 	DATA 	Keypress: right
17.1537 	DATA 	Keypress: right
19.6268 	DATA 	Keypress: num_6
21.3412 	DATA 	Keypress: num_6
22.0260 	DATA 	Keypress: num_6
24.6180 	DATA 	Keypress: num_6
27.1220 	DATA 	Keypress: num_6
29.2661 	DATA 	Keypress: num_6
29.7539 	DATA 	Keypress: num_6
32.2820 	DATA 	Keypress: num_6
34.9381 	DATA 	Keypress: num_6
37.5060 	DATA 	Keypress: num_4
40.0820 	DATA 	Keypress: num_4
42.5221 	DATA 	Keypress: num_6
45.2501 	DATA 	Keypress: num_6
47.5780 	DATA 	Keypress: num_6
50.0100 	DATA 	Keypress: num_6
52.7700 	DATA 	Keypress: num_6
55.2340 	DATA 	Keypress: num_6
57.9380 	DATA 	Keypress: num_6
60.7220 	DATA 	Keypress: num_6
63.1619 	DATA 	Keypress: num_6
65.5700 	DATA 	Keypress: num_6
75.5011 	DATA 	Keypress: num_6
76.7299 	DATA 	Keypress: num_6
80.1460 	DATA 	Keypress: num_6
80.1465 	DATA 	Trial 0 begins: FarLowWide | 0.1
80.3822 	DATA 	Stim Appears
80.5904 	DATA 	Stim Disappears
81.0901 	DATA 	Keypress: num_6
81.8906 	DATA 	Trial 1 begins: FarLowWide | 0.07943282347242815
82.1189 	DATA 	Stim Appears
82.3358 	DATA 	Stim Disappears
82.6259 	DATA 	Keypress: num_6
83.6360 	DATA 	Trial 2 begins: FarLowWide_null | 0.1
83.8691 	DATA 	Stim Appears
84.0850 	DATA 	Stim Disappears
84.5540 	DATA 	Keypress: num_4
85.3853 	DATA 	Trial 3 begins: FarHighNarrow | 0.1
85.6188 	DATA 	Stim Appears
85.8385 	DATA 	Stim Disappears
86.2180 	DATA 	Keypress: num_6
87.1388 	DATA 	Trial 4 begins: FarHighNarrow | 0.07943282347242815
87.4388 	DATA 	Stim Appears
87.6546 	DATA 	Stim Disappears
88.0899 	DATA 	Keypress: num_6
88.9549 	DATA 	Trial 5 begins: Constant | 0.1
89.1883 	DATA 	Stim Appears
89.4052 	DATA 	Stim Disappears
89.8659 	DATA 	Keypress: num_6
90.7054 	DATA 	Trial 6 begins: FarLowNarrow | 0.1
90.9397 	DATA 	Stim Appears
91.1566 	DATA 	Stim Disappears
91.6020 	DATA 	Keypress: num_6
92.4569 	DATA 	Trial 7 begins: FarLowNarrow | 0.07943282347242815
92.6899 	DATA 	Stim Appears
92.9068 	DATA 	Stim Disappears
93.3460 	DATA 	Keypress: num_6
94.2071 	DATA 	Trial 8 begins: FarHighWide_null | 0.1
94.4399 	DATA 	Stim Appears
94.6569 	DATA 	Stim Disappears
95.0500 	DATA 	Keypress: num_4
95.9572 	DATA 	Trial 9 begins: FarLowNarrow | 0.06309573444801932
96.1892 	DATA 	Stim Appears
96.4064 	DATA 	Stim Disappears
97.1059 	DATA 	Keypress: num_6
97.7066 	DATA 	Trial 10 begins: Constant | 0.07943282347242815
97.9395 	DATA 	Stim Appears
98.1564 	DATA 	Stim Disappears
98.5859 	DATA 	Keypress: num_6
99.4566 	DATA 	Trial 11 begins: FarHighWide | 0.1
99.6901 	DATA 	Stim Appears
99.9061 	DATA 	Stim Disappears
100.3139 	DATA 	Keypress: num_6
101.2064 	DATA 	Trial 12 begins: FarHighNarrow | 0.06309573444801932
101.4401 	DATA 	Stim Appears
101.6560 	DATA 	Stim Disappears
102.0739 	DATA 	Keypress: num_6
102.9563 	DATA 	Trial 13 begins: FarLowWide | 0.06309573444801932
103.1899 	DATA 	Stim Appears
103.4068 	DATA 	Stim Disappears
103.7943 	DATA 	Keypress: num_6
104.7071 	DATA 	Trial 14 begins: Constant | 0.06309573444801932
104.9396 	DATA 	Stim Appears
105.1466 	DATA 	Stim Disappears
105.4019 	DATA 	Keypress: num_6
106.4469 	DATA 	Trial 15 begins: FarHighWide | 0.07943282347242815
106.6827 	DATA 	Stim Appears
106.8897 	DATA 	Stim Disappears
107.1460 	DATA 	Keypress: num_6
108.1900 	DATA 	Trial 16 begins: FarLowWide | 0.05011872336272722
108.4159 	DATA 	Stim Appears
108.6229 	DATA 	Stim Disappears
108.9061 	DATA 	Keypress: num_6
109.9232 	DATA 	Trial 17 begins: FarLowWide | 0.03981071705534971
110.1496 	DATA 	Stim Appears
110.3566 	DATA 	Stim Disappears
110.6420 	DATA 	Keypress: num_6
111.6568 	DATA 	Trial 18 begins: FarLowNarrow | 0.05011872336272722
111.8852 	DATA 	Stim Appears
112.1025 	DATA 	Stim Disappears
112.4179 	DATA 	Keypress: num_6
113.4027 	DATA 	Trial 19 begins: FarHighNarrow | 0.05011872336272722
113.6360 	DATA 	Stim Appears
113.8519 	DATA 	Stim Disappears
114.1940 	DATA 	Keypress: num_6
115.1521 	DATA 	Trial 20 begins: FarLowWide | 0.031622776601683784
115.3860 	DATA 	Stim Appears
115.6028 	DATA 	Stim Disappears
116.0099 	DATA 	Keypress: num_6
116.9031 	DATA 	Trial 21 begins: FarHighWide | 0.06309573444801932
117.1389 	DATA 	Stim Appears
117.3548 	DATA 	Stim Disappears
117.8579 	DATA 	Keypress: num_6
118.6551 	DATA 	Trial 22 begins: FarLowWide | 0.02511886431509579
118.8879 	DATA 	Stim Appears
119.1047 	DATA 	Stim Disappears
119.5620 	DATA 	Keypress: num_6
120.4050 	DATA 	Trial 23 begins: FarHighNarrow | 0.03981071705534971
120.6389 	DATA 	Stim Appears
120.8568 	DATA 	Stim Disappears
121.2899 	DATA 	Keypress: num_6
122.1570 	DATA 	Trial 24 begins: FarHighWide | 0.05011872336272722
122.3894 	DATA 	Stim Appears
122.6064 	DATA 	Stim Disappears
123.0501 	DATA 	Keypress: num_6
123.9068 	DATA 	Trial 25 begins: FarHighNarrow | 0.031622776601683784
124.1403 	DATA 	Stim Appears
124.3563 	DATA 	Stim Disappears
124.8419 	DATA 	Keypress: num_6
125.6565 	DATA 	Trial 26 begins: FarLowWide | 0.01995262314968879
125.8901 	DATA 	Stim Appears
126.1060 	DATA 	Stim Disappears
126.5306 	DATA 	Keypress: num_6
127.4062 	DATA 	Trial 27 begins: FarLowNarrow | 0.03981071705534971
127.6394 	DATA 	Stim Appears
127.8564 	DATA 	Stim Disappears
128.2500 	DATA 	Keypress: num_6
129.1566 	DATA 	Trial 28 begins: FarHighNarrow | 0.02511886431509579
129.3895 	DATA 	Stim Appears
129.6068 	DATA 	Stim Disappears
129.9780 	DATA 	Keypress: num_6
130.9071 	DATA 	Trial 29 begins: FarLowWide | 0.015848931924611127
131.1396 	DATA 	Stim Appears
131.3466 	DATA 	Stim Disappears
131.9380 	DATA 	Keypress: num_6
132.6468 	DATA 	Trial 30 begins: FarHighWide | 0.03981071705534971
132.8734 	DATA 	Stim Appears
133.0804 	DATA 	Stim Disappears
133.7220 	DATA 	Keypress: num_6
134.3806 	DATA 	Trial 31 begins: Constant | 0.05011872336272722
134.6070 	DATA 	Stim Appears
134.8230 	DATA 	Stim Disappears
136.1233 	DATA 	No keypress (maxWait exceeded)
136.1234 	DATA 	Trial 32 begins: FarLowNarrow | 0.031622776601683784
136.3503 	DATA 	Stim Appears
136.5662 	DATA 	Stim Disappears
136.8740 	DATA 	Keypress: num_6
