0.9450 	WARNING 	Import Error: dlopen(/Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/PsychHID.abi3.so, 2): Symbol not found: ____chkstk_darwin
  Referenced from: /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib (which was built for Mac OS X 11.0)
  Expected in: /usr/lib/libSystem.B.dylib
 in /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib. Using event module for keyboard component.
63.3188 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1920, 1080]. Using actual size
70.6935 	DATA 	Keypress: right
78.5092 	DATA 	Keypress: num_6
80.1169 	DATA 	Keypress: num_6
81.2270 	DATA 	No keypress (maxWait exceeded)
82.7409 	DATA 	Keypress: num_6
83.7688 	DATA 	No keypress (maxWait exceeded)
85.0111 	DATA 	Keypress: num_6
86.3292 	DATA 	No keypress (maxWait exceeded)
88.4767 	DATA 	Keypress: num_4
91.4496 	DATA 	No keypress (maxWait exceeded)
92.6287 	DATA 	Keypress: num_6
94.0158 	DATA 	No keypress (maxWait exceeded)
95.1269 	DATA 	Keypress: num_6
96.5854 	DATA 	No keypress (maxWait exceeded)
98.5888 	DATA 	Keypress: num_6
101.2208 	DATA 	Keypress: num_6
103.6609 	DATA 	Keypress: num_6
106.1968 	DATA 	Keypress: num_6
108.1136 	DATA 	Keypress: num_6
109.1008 	DATA 	Keypress: num_6
111.5408 	DATA 	Keypress: num_6
114.1328 	DATA 	Keypress: num_6
116.6287 	DATA 	Keypress: num_6
119.0048 	DATA 	Keypress: num_6
121.7249 	DATA 	Keypress: num_6
124.3328 	DATA 	Keypress: num_6
126.8128 	DATA 	Keypress: num_6
129.3648 	DATA 	Keypress: num_6
157.2930 	DATA 	Keypress: num_6
160.3380 	DATA 	Trial 0 begins: FarLowNarrow | 0.1
160.6186 	DATA 	Stim Appears
160.8347 	DATA 	Stim Disappears
161.4610 	DATA 	Keypress: num_6
162.0530 	DATA 	Keypress: num_6
162.1864 	DATA 	Trial 1 begins: FarLowNarrow | 0.07943282347242815
162.4686 	DATA 	Stim Appears
162.6844 	DATA 	Stim Disappears
162.9809 	DATA 	Keypress: num_6
164.0365 	DATA 	Trial 2 begins: FarLowNarrow | 0.06309573444801932
164.3184 	DATA 	Stim Appears
164.5354 	DATA 	Stim Disappears
164.9889 	DATA 	Keypress: num_6
165.8878 	DATA 	Trial 3 begins: FarHighWide | 0.1
166.1683 	DATA 	Stim Appears
166.3854 	DATA 	Stim Disappears
166.8128 	DATA 	Keypress: num_6
167.7374 	DATA 	Trial 4 begins: FarLowNarrow | 0.05011872336272722
168.0179 	DATA 	Stim Appears
168.2349 	DATA 	Stim Disappears
168.8209 	DATA 	Keypress: num_6
169.5869 	DATA 	Trial 5 begins: Constant | 0.1
169.8598 	DATA 	Stim Appears
170.0687 	DATA 	Stim Disappears
170.6449 	DATA 	Keypress: num_6
171.4205 	DATA 	Trial 6 begins: FarLowNarrow | 0.03981071705534971
171.6940 	DATA 	Stim Appears
171.9015 	DATA 	Stim Disappears
172.5488 	DATA 	Keypress: num_6
173.2538 	DATA 	Trial 7 begins: ThreeLinesControl | 0.1
173.5269 	DATA 	Stim Appears
173.7345 	DATA 	Stim Disappears
174.4688 	DATA 	Keypress: num_6
175.0866 	DATA 	Trial 8 begins: ThreeLinesControl | 0.07943282347242815
175.3626 	DATA 	Stim Appears
175.5795 	DATA 	Stim Disappears
176.3328 	DATA 	Keypress: num_6
176.9302 	DATA 	Trial 9 begins: ThreeLinesControl | 0.06309573444801932
177.2132 	DATA 	Stim Appears
177.4293 	DATA 	Stim Disappears
178.1889 	DATA 	Keypress: num_6
178.7819 	DATA 	Trial 10 begins: FarHighNarrow | 0.1
179.0661 	DATA 	Stim Appears
179.2822 	DATA 	Stim Disappears
180.1009 	DATA 	Keypress: num_6
180.6342 	DATA 	Trial 11 begins: Constant | 0.07943282347242815
180.9162 	DATA 	Stim Appears
181.1330 	DATA 	Stim Disappears
181.8528 	DATA 	Keypress: num_6
182.4860 	DATA 	Trial 12 begins: ThreeLinesControl | 0.05011872336272722
182.7660 	DATA 	Stim Appears
182.9829 	DATA 	Stim Disappears
183.6769 	DATA 	Keypress: num_6
184.3354 	DATA 	Trial 13 begins: FarHighNarrow | 0.07943282347242815
184.6186 	DATA 	Stim Appears
184.8347 	DATA 	Stim Disappears
185.4690 	DATA 	Keypress: num_6
186.1880 	DATA 	Trial 14 begins: FarLowNarrow | 0.031622776601683784
186.4687 	DATA 	Stim Appears
186.6846 	DATA 	Stim Disappears
187.2928 	DATA 	Keypress: num_6
188.0372 	DATA 	Trial 15 begins: FarHighWide | 0.07943282347242815
188.3187 	DATA 	Stim Appears
188.5344 	DATA 	Stim Disappears
189.2785 	DATA 	Keypress: num_6
189.8864 	DATA 	Trial 16 begins: FarLowWide | 0.1
190.1678 	DATA 	Stim Appears
190.3851 	DATA 	Stim Disappears
191.1410 	DATA 	Keypress: num_6
191.7372 	DATA 	Trial 17 begins: FarLowWide | 0.07943282347242815
192.0182 	DATA 	Stim Appears
192.2354 	DATA 	Stim Disappears
193.0369 	DATA 	Keypress: num_6
193.5878 	DATA 	Trial 18 begins: ThreeLinesControl_null | 0.1
193.8679 	DATA 	Stim Appears
194.0848 	DATA 	Stim Disappears
194.7968 	DATA 	Keypress: num_4
195.4373 	DATA 	Trial 19 begins: FarLowWide | 0.06309573444801932
195.7178 	DATA 	Stim Appears
195.9349 	DATA 	Stim Disappears
196.4689 	DATA 	Keypress: num_6
197.2889 	DATA 	Trial 20 begins: FarHighWide | 0.06309573444801932
197.5688 	DATA 	Stim Appears
197.7846 	DATA 	Stim Disappears
198.2850 	DATA 	Keypress: num_6
199.1386 	DATA 	Trial 21 begins: Constant | 0.06309573444801932
199.4108 	DATA 	Stim Appears
199.6278 	DATA 	Stim Disappears
200.1488 	DATA 	Keypress: num_6
200.9799 	DATA 	Trial 22 begins: FarLowNarrow | 0.02511886431509579
201.2512 	DATA 	Stim Appears
201.4611 	DATA 	Stim Disappears
201.9170 	DATA 	Keypress: num_6
202.8146 	DATA 	Trial 23 begins: ThreeLinesControl_null | 0.07943282347242815
203.0852 	DATA 	Stim Appears
203.2940 	DATA 	Stim Disappears
204.0769 	DATA 	Keypress: num_4
204.6467 	DATA 	Trial 24 begins: FarLowWide | 0.05011872336272722
204.9300 	DATA 	Stim Appears
205.1472 	DATA 	Stim Disappears
205.8609 	DATA 	Keypress: num_6
206.4991 	DATA 	Trial 25 begins: FarHighWide | 0.05011872336272722
206.7803 	DATA 	Stim Appears
206.9971 	DATA 	Stim Disappears
207.5488 	DATA 	Keypress: num_6
208.3557 	DATA 	Trial 26 begins: FarHighWide_null | 0.1
208.6329 	DATA 	Stim Appears
208.8497 	DATA 	Stim Disappears
209.7008 	DATA 	Keypress: num_4
210.2011 	DATA 	Trial 27 begins: ThreeLinesControl | 0.03981071705534971
210.4829 	DATA 	Stim Appears
210.6997 	DATA 	Stim Disappears
211.2128 	DATA 	Keypress: num_6
212.0551 	DATA 	Trial 28 begins: FarLowWide_null | 0.1
212.3327 	DATA 	Stim Appears
212.5496 	DATA 	Stim Disappears
213.0850 	DATA 	Keypress: num_4
213.9016 	DATA 	Trial 29 begins: FarLowWide | 0.03981071705534971
214.1853 	DATA 	Stim Appears
214.4014 	DATA 	Stim Disappears
215.0209 	DATA 	Keypress: num_6
215.7535 	DATA 	Trial 30 begins: FarLowNarrow_null | 0.1
216.0352 	DATA 	Stim Appears
216.2512 	DATA 	Stim Disappears
216.6448 	DATA 	Keypress: num_6
217.6038 	DATA 	Trial 31 begins: Constant | 0.05011872336272722
217.8854 	DATA 	Stim Appears
218.1023 	DATA 	Stim Disappears
218.4209 	DATA 	Keypress: num_6
