Participant_Number,Trial_Number,Condition,FCfar,FCmed,FCclose,Target_Contrast,Correct_Response,Reaction_Time
84,0,FarHighWide,0.5,0.25,0.03,0.1,0,0.9465606459998526
84,1,FarHighWide,0.5,0.25,0.03,0.1,1,0.5844420830007948
84,2,Constant_null,0.1,0.1,0.1,0.1,1,0.6304599420000159
84,3,FarLowNarrow,0.1,0.15,0.2,0.1,1,0.5726986849995228
84,4,FarHighWide,0.5,0.25,0.03,0.07943282347242815,1,0.5870525750005982
84,5,ThreeLinesControl_null,0.0,0.0,0.1,0.1,1,0.5202111910002714
84,6,FarLowWide,0.03,0.25,0.5,0.1,1,0.4065273349997369
84,7,Constant,0.1,0.1,0.1,0.1,1,0.3736788409996734
84,8,Constant,0.1,0.1,0.1,0.07943282347242815,1,0.4678706710001279
84,9,FarLowWide,0.03,0.25,0.5,0.07943282347242815,1,0.39973165599985805
84,10,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.4220380520000617
84,11,FarLowNarrow,0.1,0.15,0.2,0.07943282347242815,1,0.3450114029992619
84,12,FarLowNarrow,0.1,0.15,0.2,0.06309573444801932,1,0.3832284689997323
84,13,FarLowWide,0.03,0.25,0.5,0.06309573444801932,1,0.4123181000004479
84,14,FarLowNarrow,0.1,0.15,0.2,0.05011872336272722,1,0.360144149000007
84,15,Constant,0.1,0.1,0.1,0.06309573444801932,1,0.382639396999366
84,16,FarHighNarrow,0.2,0.15,0.1,0.1,1,0.356101598999885
84,17,ThreeLinesControl,0.0,0.0,0.1,0.1,1,0.4028967690001082
84,18,ThreeLinesControl,0.0,0.0,0.1,0.07943282347242815,1,0.39302822100034973
84,19,FarHighNarrow,0.2,0.15,0.1,0.07943282347242815,1,0.43829442800051766
84,20,Constant,0.1,0.1,0.1,0.05011872336272722,1,0.5079415370000788
84,21,FarLowWide,0.03,0.25,0.5,0.05011872336272722,1,0.498289621999902
84,22,Constant,0.1,0.1,0.1,0.03981071705534971,1,0.5205106240000532
84,23,ThreeLinesControl,0.0,0.0,0.1,0.06309573444801932,1,0.45463366199965094
84,24,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,0.3891039099999034
84,25,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.3771596819997285
84,26,FarLowNarrow,0.1,0.15,0.2,0.03981071705534971,1,0.43915766600002826
84,27,FarLowWide,0.03,0.25,0.5,0.03981071705534971,1,0.3003801280001426
84,28,FarLowNarrow,0.1,0.15,0.2,0.031622776601683784,1,0.2954828069996438
84,29,ThreeLinesControl,0.0,0.0,0.1,0.05011872336272722,1,0.3176138769995305
84,30,FarLowNarrow,0.1,0.15,0.2,0.02511886431509579,1,0.43381409799985704
