Participant_Number,Trial_Number,Condition,FCfar,FCmed,FCclose,Target_Contrast,Correct_Response,Reaction_Time
52,0,FarLowWide_null,0.03,0.25,0.5,0.1,1,0.5665750449998086
52,1,FarHighWide,0.5,0.25,0.03,0.1,1,0.4886696439998559
52,2,Constant,0.1,0.1,0.1,0.1,1,0.624275366999882
52,3,Constant_null,0.1,0.1,0.1,0.1,1,0.8344480929999918
52,4,FarHighWide,0.5,0.25,0.03,0.07943282347242815,1,0.7797225690001142
52,5,Constant,0.1,0.1,0.1,0.07943282347242815,1,0.5791022309999789
52,6,Constant,0.1,0.1,0.1,0.06309573444801932,0,0.9651401609999084
52,7,FarHighWide,0.5,0.25,0.03,0.06309573444801932,0,1.0627679869999156
52,8,Constant,0.1,0.1,0.1,0.07943282347242814,1,0.5445727289998104
52,9,FarHighNarrow,0.2,0.15,0.1,0.1,1,0.6668961730001683
52,10,Constant,0.1,0.1,0.1,0.07943282347242814,1,0.6370138030001726
52,11,Constant,0.1,0.1,0.1,0.07943282347242814,1,0.5754139330001635
52,12,FarHighWide,0.5,0.25,0.03,0.07943282347242814,1,0.6657811560003211
52,13,FarLowWide,0.03,0.25,0.5,0.1,1,0.5610713650003163
52,14,FarHighNarrow_null,0.2,0.15,0.1,0.1,0,0.5630435339999167
52,15,FarHighWide,0.5,0.25,0.03,0.07943282347242814,1,0.6527085170000646
52,16,FarHighWide,0.5,0.25,0.03,0.07943282347242814,1,0.6606792799998402
52,17,FarLowNarrow,0.1,0.15,0.2,0.1,1,0.5024466539998684
52,18,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.5288330030002726
52,19,Constant,0.1,0.1,0.1,0.06309573444801932,1,0.48041761200011024
52,20,Constant,0.1,0.1,0.1,0.06309573444801932,1,0.5064516930001446
52,21,FarLowNarrow,0.1,0.15,0.2,0.07943282347242815,1,0.5396421720001854
52,22,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.4778752100000929
52,23,FarHighNarrow,0.2,0.15,0.1,0.07943282347242815,1,0.4725572480001574
52,24,FarLowNarrow,0.1,0.15,0.2,0.06309573444801932,1,0.5062860630000614
52,25,Constant,0.1,0.1,0.1,0.06309573444801932,1,0.4198514620002243
52,26,Constant,0.1,0.1,0.1,0.05011872336272722,1,0.43759293899984186
52,27,FarHighWide_null,0.5,0.25,0.03,0.1,1,0.4892400909998287
52,28,FarLowWide,0.03,0.25,0.5,0.07943282347242815,1,0.45019857299985233
52,29,FarLowWide,0.03,0.25,0.5,0.06309573444801932,1,0.7014278329997978
52,30,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.8037331739997171
52,31,FarLowNarrow,0.1,0.15,0.2,0.05011872336272722,1,0.5101590920003218
52,32,FarLowNarrow,0.1,0.15,0.2,0.03981071705534971,1,0.4967553480000788
52,33,FarLowWide,0.03,0.25,0.5,0.05011872336272722,1,0.5352695569999923
52,34,FarHighNarrow_null,0.2,0.15,0.1,0.1,1,0.6811601189997418
52,35,Constant,0.1,0.1,0.1,0.05011872336272722,1,0.5237080950000745
52,36,FarLowWide,0.03,0.25,0.5,0.03981071705534971,1,0.5073624859996926
52,37,FarHighNarrow,0.2,0.15,0.1,0.06309573444801932,1,0.5659707939998952
52,38,FarLowNarrow,0.1,0.15,0.2,0.031622776601683784,1,0.8712811519999377
52,39,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,1.0655474150003101
52,40,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,0.8276944220001496
52,41,FarLowWide,0.03,0.25,0.5,0.031622776601683784,1,0.7412517620000472
52,42,FarHighNarrow,0.2,0.15,0.1,0.05011872336272722,1,0.6638290769997184
52,43,FarLowNarrow,0.1,0.15,0.2,0.02511886431509579,1,0.648944276000293
52,44,FarHighNarrow,0.2,0.15,0.1,0.03981071705534971,1,0.6994620569998915
52,45,FarHighNarrow,0.2,0.15,0.1,0.031622776601683784,1,0.7826333160001013
52,46,FarLowWide,0.03,0.25,0.5,0.02511886431509579,1,1.0557536480000635
52,47,FarHighNarrow,0.2,0.15,0.1,0.02511886431509579,1,1.198336172999916
52,48,Constant,0.1,0.1,0.1,0.05011872336272722,1,0.624832725000033
52,49,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,0.7146227729999737
52,50,FarLowWide,0.03,0.25,0.5,0.01995262314968879,0,0.6262777560000359
52,51,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.667638684999929
52,52,FarLowNarrow,0.1,0.15,0.2,0.01995262314968879,1,0.9581800160003695
52,53,FarLowNarrow,0.1,0.15,0.2,0.015848931924611127,1,0.998198198999944
52,54,FarLowNarrow_null,0.1,0.15,0.2,0.1,1,0.8238615499999469
52,55,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.6905344809997587
52,56,FarLowWide,0.03,0.25,0.5,0.025118864315095794,1,0.9645296110002164
52,57,FarLowWide,0.03,0.25,0.5,0.025118864315095794,1,0.7260888460000388
52,58,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.4875647310000204
52,59,FarHighWide,0.5,0.25,0.03,0.031622776601683784,1,0.4257776429999467
52,60,Constant,0.1,0.1,0.1,0.03981071705534971,0,0.44200190800029304
52,61,FarLowNarrow,0.1,0.15,0.2,0.012589254117941666,0,0.46614714900033505
52,62,FarLowNarrow,0.1,0.15,0.2,0.015848931924611127,0,0.3806637369998498
52,63,FarHighNarrow,0.2,0.15,0.1,0.01995262314968879,1,0.7103162159996828
52,64,FarHighNarrow,0.2,0.15,0.1,0.015848931924611127,0,0.72807663399999
52,65,FarLowNarrow,0.1,0.15,0.2,0.01995262314968879,1,0.7064804630003891
52,66,Constant_null,0.1,0.1,0.1,0.07943282347242815,1,0.5980373850002252
52,67,FarLowWide,0.03,0.25,0.5,0.025118864315095794,1,0.6303797629998371
52,68,FarLowNarrow,0.1,0.15,0.2,0.01995262314968879,1,0.5364905749997888
52,69,FarLowWide,0.03,0.25,0.5,0.01995262314968879,0,0.38589230100023997
52,70,FarHighNarrow,0.2,0.15,0.1,0.01995262314968879,1,0.6778414519999387
52,71,Constant,0.1,0.1,0.1,0.05011872336272721,1,0.4883507700001246
52,72,FarLowWide,0.03,0.25,0.5,0.025118864315095794,1,0.6623555039996063
52,73,Constant,0.1,0.1,0.1,0.05011872336272721,1,0.5203651870001522
52,74,FarHighWide,0.5,0.25,0.03,0.031622776601683784,1,0.4988655759998437
52,75,FarHighNarrow,0.2,0.15,0.1,0.01995262314968879,0,0.5210381639999468
52,76,FarHighNarrow,0.2,0.15,0.1,0.025118864315095794,1,0.5552512429999297
52,77,FarLowWide_null,0.03,0.25,0.5,0.07943282347242815,1,0.5411309410001195
52,78,Constant,0.1,0.1,0.1,0.05011872336272721,1,0.5576102840000203
52,79,FarHighWide,0.5,0.25,0.03,0.031622776601683784,1,0.46416669100017316
