Participant_Number,Trial_Number,Condition,FCfar,FCmed,FCclose,Target_Contrast,Correct_Response,Reaction_Time
90,0,FarHighNarrow,0.2,0.15,0.1,0.1,1,0.8849927969995406
90,1,FarHighNarrow,0.2,0.15,0.1,0.07943282347242815,1,0.7231502260001434
90,2,FarHighWide,0.5,0.25,0.03,0.1,1,0.5520879069999864
90,3,FarLowNarrow_null,0.1,0.15,0.2,0.1,1,0.446642711000095
90,4,FarLowNarrow,0.1,0.15,0.2,0.1,1,0.44466062799983774
90,5,FarLowWide,0.03,0.25,0.5,0.1,1,0.33800556200003484
90,6,FarLowNarrow,0.1,0.15,0.2,0.07943282347242815,1,0.5998243049998564
90,7,Constant,0.1,0.1,0.1,0.1,1,0.590466094000476
90,8,FarLowWide,0.03,0.25,0.5,0.07943282347242815,1,0.6148894489997474
90,9,ThreeLinesControl,0.0,0.0,0.1,0.1,1,0.6380255329995634
90,10,Constant,0.1,0.1,0.1,0.07943282347242815,1,0.7127032770004007
90,11,ThreeLinesControl,0.0,0.0,0.1,0.07943282347242815,1,0.6795653100007257
90,12,FarHighNarrow,0.2,0.15,0.1,0.06309573444801932,1,0.6778223209994394
90,13,FarHighWide,0.5,0.25,0.03,0.07943282347242815,1,1.1208523459999924
90,14,Constant,0.1,0.1,0.1,0.06309573444801932,1,0.7170998729998246
90,15,Constant,0.1,0.1,0.1,0.05011872336272722,1,0.8720835000003717
90,16,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.6943340640000315
90,17,FarHighNarrow,0.2,0.15,0.1,0.05011872336272722,1,0.7166078949994699
90,18,Constant,0.1,0.1,0.1,0.03981071705534971,1,0.7938284720003139
90,19,FarHighNarrow,0.2,0.15,0.1,0.03981071705534971,1,0.9838441430001694
90,20,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,1.0939871250002398
90,21,Constant,0.1,0.1,0.1,0.031622776601683784,1,0.9081079550005597
90,22,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.75329708100071
90,23,FarLowWide,0.03,0.25,0.5,0.06309573444801932,1,0.8010207440001977
90,24,Constant,0.1,0.1,0.1,0.02511886431509579,1,0.8226578339999833
90,25,FarHighNarrow,0.2,0.15,0.1,0.031622776601683784,1,0.932630035999864
90,26,FarHighNarrow,0.2,0.15,0.1,0.02511886431509579,0,0.7930526179998196
90,27,ThreeLinesControl,0.0,0.0,0.1,0.06309573444801932,1,0.7507341989994529
90,28,FarHighWide,0.5,0.25,0.03,0.031622776601683784,1,0.8849208159999762
90,29,FarLowNarrow,0.1,0.15,0.2,0.06309573444801932,1,0.7443992649996289
