Participant_Number,Trial_Number,Condition,FCfar,FCmed,FCclose,Target_Contrast,Correct_Response,Reaction_Time
85,0,Constant,0.1,0.1,0.1,0.1,1,0.7931526859993028
85,1,ThreeLinesControl,0.0,0.0,0.1,0.1,1,0.5513889499998186
85,2,FarHighWide,0.5,0.25,0.03,0.1,1,0.3892349010002363
85,3,FarLowNarrow,0.1,0.15,0.2,0.1,1,0.34856935199968575
85,4,Constant,0.1,0.1,0.1,0.07943282347242815,1,0.2164641279996431
85,5,Constant,0.1,0.1,0.1,0.06309573444801932,1,0.1666542359998857
85,6,FarLowNarrow,0.1,0.15,0.2,0.07943282347242815,1,0.3940331140001945
85,7,FarHighWide,0.5,0.25,0.03,0.07943282347242815,1,0.49601273799999035
85,8,Constant,0.1,0.1,0.1,0.05011872336272722,1,0.4860714209989965
85,9,FarHighNarrow,0.2,0.15,0.1,0.1,1,0.561099380000087
85,10,FarLowNarrow,0.1,0.15,0.2,0.06309573444801932,1,0.3745323080001981
85,11,FarLowWide,0.03,0.25,0.5,0.1,1,0.2762084969999705
85,12,FarHighNarrow,0.2,0.15,0.1,0.07943282347242815,1,0.5147172729994054
85,13,FarLowNarrow,0.1,0.15,0.2,0.05011872336272722,1,0.512760290001097
85,14,ThreeLinesControl,0.0,0.0,0.1,0.07943282347242815,1,0.4949110390007263
85,15,ThreeLinesControl,0.0,0.0,0.1,0.06309573444801932,1,0.3802414260007936
85,16,Constant,0.1,0.1,0.1,0.03981071705534971,1,0.4891377559997636
85,17,ThreeLinesControl,0.0,0.0,0.1,0.05011872336272722,1,0.5207862039987958
85,18,FarLowWide,0.03,0.25,0.5,0.07943282347242815,1,0.4469672470004298
85,19,FarHighNarrow,0.2,0.15,0.1,0.06309573444801932,1,0.4141638689998217
85,20,Constant,0.1,0.1,0.1,0.031622776601683784,1,0.5299499979992106
85,21,FarHighWide_null,0.5,0.25,0.03,0.1,0,0.36001589199986483
85,22,ThreeLinesControl,0.0,0.0,0.1,0.03981071705534971,1,0.4670208110001113
85,23,FarHighNarrow,0.2,0.15,0.1,0.05011872336272722,1,0.48070883199943637
85,24,Constant,0.1,0.1,0.1,0.02511886431509579,1,0.5590051059989491
85,25,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.5374531029992795
85,26,FarHighNarrow,0.2,0.15,0.1,0.03981071705534971,1,0.5594308210002055
85,27,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,0.3899967260003905
85,28,FarLowNarrow,0.1,0.15,0.2,0.03981071705534971,1,0.547695854000267
85,29,FarLowNarrow,0.1,0.15,0.2,0.031622776601683784,1,0.5862562470010744
85,30,FarLowNarrow,0.1,0.15,0.2,0.02511886431509579,1,0.5112480539992248
85,31,FarLowNarrow,0.1,0.15,0.2,0.01995262314968879,1,0.5814076749993546
85,32,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.57168774999991
85,33,ThreeLinesControl,0.0,0.0,0.1,0.031622776601683784,1,0.5220047189995967
85,34,Constant,0.1,0.1,0.1,0.01995262314968879,1,0.47334380199936277
85,35,FarLowWide,0.03,0.25,0.5,0.06309573444801932,1,0.5430910859995493
85,36,FarLowWide,0.03,0.25,0.5,0.05011872336272722,1,0.49011509500087413
85,37,FarHighWide,0.5,0.25,0.03,0.031622776601683784,1,0.5759526739984722
85,38,FarHighWide,0.5,0.25,0.03,0.02511886431509579,1,0.4945108270003402
85,39,Constant,0.1,0.1,0.1,0.015848931924611127,1,0.5854059809989849
85,40,FarLowWide,0.03,0.25,0.5,0.03981071705534971,1,0.6157573599994066
85,41,Constant_null,0.1,0.1,0.1,0.1,0,0.6670628729989403
85,42,Constant_null,0.1,0.1,0.1,0.1,1,0.4969960939997691
85,43,Constant,0.1,0.1,0.1,0.012589254117941666,0,0.6711374120004621
85,44,FarHighNarrow,0.2,0.15,0.1,0.031622776601683784,1,0.5735013850007817
85,45,FarHighWide,0.5,0.25,0.03,0.01995262314968879,1,0.4756626349990256
85,46,ThreeLinesControl,0.0,0.0,0.1,0.02511886431509579,1,0.5695794509992993
85,47,FarLowNarrow,0.1,0.15,0.2,0.015848931924611127,1,0.6548766330015496
85,48,FarLowWide,0.03,0.25,0.5,0.031622776601683784,0,0.6448363100007555
85,49,Constant,0.1,0.1,0.1,0.015848931924611127,0,0.7063234069992177
85,50,FarLowWide,0.03,0.25,0.5,0.03981071705534971,1,0.5297217819988873
85,51,FarHighNarrow,0.2,0.15,0.1,0.02511886431509579,1,0.5114165420000063
85,52,FarHighNarrow,0.2,0.15,0.1,0.01995262314968879,1,0.5475387920014327
85,53,FarLowNarrow,0.1,0.15,0.2,0.012589254117941666,0,0.6576092939994851
85,54,ThreeLinesControl,0.0,0.0,0.1,0.01995262314968879,1,0.630683327000952
85,55,FarLowNarrow,0.1,0.15,0.2,0.015848931924611127,1,0.5067275510009495
85,56,FarHighWide,0.5,0.25,0.03,0.015848931924611127,1,0.5362846839998383
85,57,FarLowNarrow,0.1,0.15,0.2,0.012589254117941666,1,0.534321226999964
85,58,FarHighNarrow,0.2,0.15,0.1,0.015848931924611127,1,0.7534066850003001
85,59,FarLowWide,0.03,0.25,0.5,0.031622776601683784,1,0.6395263330014131
85,60,FarLowNarrow_null,0.1,0.15,0.2,0.1,1,0.5976910419994965
85,61,Constant,0.1,0.1,0.1,0.01995262314968879,1,0.6838196140015498
85,62,FarHighWide,0.5,0.25,0.03,0.012589254117941666,1,0.6979565479996381
85,63,Constant,0.1,0.1,0.1,0.015848931924611127,1,0.6163450559997727
85,64,FarLowNarrow,0.1,0.15,0.2,0.009999999999999995,0,0.5423385490012151
85,65,FarLowNarrow,0.1,0.15,0.2,0.012589254117941666,1,0.7872858219998307
85,66,FarLowWide,0.03,0.25,0.5,0.02511886431509579,1,0.4910399189993768
85,67,Constant_null,0.1,0.1,0.1,0.07943282347242815,1,0.5530698459988344
85,68,FarHighWide,0.5,0.25,0.03,0.009999999999999995,1,0.6001887029997306
85,69,FarLowNarrow,0.1,0.15,0.2,0.009999999999999995,0,0.5870554399989487
85,70,FarLowNarrow,0.1,0.15,0.2,0.012589254117941666,1,0.7611792469997454
85,71,FarHighWide,0.5,0.25,0.03,0.00794328234724281,1,0.7563665939997009
85,72,ThreeLinesControl,0.0,0.0,0.1,0.015848931924611127,1,0.530610510999395
85,73,FarHighWide,0.5,0.25,0.03,0.0063095734448019285,0,0.6156957610000973
85,74,ThreeLinesControl_null,0.0,0.0,0.1,0.1,0,0.5877565209993918
85,75,ThreeLinesControl,0.0,0.0,0.1,0.012589254117941666,1,0.4656061650002812
85,76,FarHighNarrow,0.2,0.15,0.1,0.012589254117941666,0,0.47216853399913816
85,77,FarLowWide_null,0.03,0.25,0.5,0.1,1,0.6851753119990462
85,78,ThreeLinesControl,0.0,0.0,0.1,0.009999999999999995,0,0.5953172939989599
85,79,FarLowWide,0.03,0.25,0.5,0.01995262314968879,1,0.5935544240001036
85,80,FarHighWide,0.5,0.25,0.03,0.00794328234724281,1,0.6395663379989855
85,81,ThreeLinesControl,0.0,0.0,0.1,0.012589254117941666,0,0.5818657840009109
85,82,FarHighWide,0.5,0.25,0.03,0.0063095734448019285,0,0.8439232849996188
85,83,Constant,0.1,0.1,0.1,0.012589254117941666,1,0.586479847001101
85,84,FarHighNarrow,0.2,0.15,0.1,0.015848931924611127,1,0.512329064998994
85,85,FarHighNarrow,0.2,0.15,0.1,0.012589254117941666,1,0.668455625000206
85,86,FarHighNarrow,0.2,0.15,0.1,0.009999999999999995,0,0.49741167100000894
85,87,FarLowWide,0.03,0.25,0.5,0.015848931924611127,1,0.5566408380000212
85,88,Constant,0.1,0.1,0.1,0.009999999999999995,0,0.538800057998742
85,89,ThreeLinesControl,0.0,0.0,0.1,0.015848931924611127,1,0.5455052550005348
85,90,FarLowWide,0.03,0.25,0.5,0.012589254117941666,0,0.3815012029990612
85,91,ThreeLinesControl,0.0,0.0,0.1,0.012589254117941666,0,0.45131646300069406
85,92,FarLowNarrow,0.1,0.15,0.2,0.009999999999999995,0,0.46549767299984524
85,93,FarLowWide_null,0.03,0.25,0.5,0.07943282347242815,0,0.46355126299931726
85,94,FarLowNarrow,0.1,0.15,0.2,0.012589254117941666,1,1.0284942959988257
85,95,Constant,0.1,0.1,0.1,0.012589254117941666,1,0.7065583559997322
85,96,FarHighWide,0.5,0.25,0.03,0.00794328234724281,0,0.4819691379998403
85,97,FarHighWide,0.5,0.25,0.03,0.009999999999999995,0,0.44015696899987233
85,98,ThreeLinesControl,0.0,0.0,0.1,0.015848931924611127,1,0.5826786150009866
85,99,Constant,0.1,0.1,0.1,0.009999999999999995,0,0.5170376740006759
85,100,FarHighWide,0.5,0.25,0.03,0.012589254117941666,0,0.468342369000311
85,101,FarHighNarrow,0.2,0.15,0.1,0.012589254117941666,0,0.39093452199995227
85,102,ThreeLinesControl,0.0,0.0,0.1,0.012589254117941666,1,0.5962951090004935
85,103,FarLowWide,0.03,0.25,0.5,0.015848931924611127,0,0.6340764889991988
85,104,FarHighNarrow,0.2,0.15,0.1,0.015848931924611127,1,0.4542094400003407
85,105,FarLowNarrow,0.1,0.15,0.2,0.009999999999999995,1,0.539409954999428
85,106,ThreeLinesControl,0.0,0.0,0.1,0.009999999999999995,1,0.7106089530007011
85,107,FarHighWide,0.5,0.25,0.03,0.015848931924611127,1,0.500788585999544
85,108,Constant,0.1,0.1,0.1,0.012589254117941666,0,0.5225530099996831
85,109,FarHighNarrow,0.2,0.15,0.1,0.012589254117941666,0,0.36921563999931095
85,110,FarLowWide_null,0.03,0.25,0.5,0.1,1,0.6700461890013685
85,111,ThreeLinesControl,0.0,0.0,0.1,0.00794328234724281,1,0.5243725029995403
85,112,FarLowWide,0.03,0.25,0.5,0.01995262314968879,0,0.4344148129985115
85,113,ThreeLinesControl,0.0,0.0,0.1,0.0063095734448019285,0,0.552402698998776
85,114,ThreeLinesControl,0.0,0.0,0.1,0.00794328234724281,0,0.4060547139997652
85,115,Constant,0.1,0.1,0.1,0.015848931924611127,0,0.6292874539994955
85,116,FarHighNarrow,0.2,0.15,0.1,0.015848931924611127,1,0.5057018360002985
85,117,FarLowWide,0.03,0.25,0.5,0.025118864315095794,0,0.44512527900042187
85,118,FarHighNarrow_null,0.2,0.15,0.1,0.1,0,0.7871426080000674
