Participant_Number,Trial_Number,Condition,FCfar,FCmed,FCclose,Target_Contrast,Correct_Response,Reaction_Time
82,0,FarHighNarrow,0.2,0.15,0.1,0.1,1,0.7285436790007225
82,1,FarLowNarrow,0.1,0.15,0.2,0.1,1,0.6866055219979899
82,2,FarHighWide,0.5,0.25,0.03,0.1,1,0.6939818859973457
82,3,FarHighWide,0.5,0.25,0.03,0.07943282347242815,1,0.7160349449986825
82,4,ThreeLinesControl,0.0,0.0,0.1,0.1,1,0.3063003409988596
82,5,Constant,0.1,0.1,0.1,0.1,1,0.19817783400139888
82,6,FarHighNarrow,0.2,0.15,0.1,0.07943282347242815,1,0.1803074560011737
82,7,Constant_null,0.1,0.1,0.1,0.1,0,0.16240294100134633
82,8,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.4695369839973864
82,9,FarLowNarrow_null,0.1,0.15,0.2,0.1,1,0.6598262029983744
82,10,FarHighNarrow,0.2,0.15,0.1,0.06309573444801932,1,0.6148819560003176
82,11,Constant,0.1,0.1,0.1,0.07943282347242815,1,0.6362277660009568
82,12,Constant,0.1,0.1,0.1,0.06309573444801932,1,0.6431795100033924
82,13,FarLowWide,0.03,0.25,0.5,0.1,1,0.43243141299899435
82,14,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,0.5425359580003715
82,15,Constant_null,0.1,0.1,0.1,0.1,1,0.5884600169993064
82,16,Constant,0.1,0.1,0.1,0.05011872336272722,1,0.6016065740004706
82,17,FarHighNarrow,0.2,0.15,0.1,0.05011872336272722,1,0.47169401299834135
82,18,FarLowNarrow,0.1,0.15,0.2,0.07943282347242815,1,0.5422098090020882
82,19,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.5898046459988109
82,20,FarHighNarrow,0.2,0.15,0.1,0.03981071705534971,1,0.5166171509990818
82,21,ThreeLinesControl,0.0,0.0,0.1,0.07943282347242815,1,0.551357858999836
82,22,FarLowNarrow,0.1,0.15,0.2,0.06309573444801932,1,0.3575691600017308
82,23,Constant,0.1,0.1,0.1,0.03981071705534971,1,0.2358741940006439
82,24,ThreeLinesControl,0.0,0.0,0.1,0.06309573444801932,1,0.41443701299795066
82,25,FarHighNarrow,0.2,0.15,0.1,0.031622776601683784,1,0.3401123369985726
82,26,ThreeLinesControl,0.0,0.0,0.1,0.05011872336272722,1,0.5442505270002584
82,27,FarLowNarrow,0.1,0.15,0.2,0.05011872336272722,1,0.533351007001329
82,28,FarLowNarrow,0.1,0.15,0.2,0.03981071705534971,1,0.467584125999565
82,29,Constant_null,0.1,0.1,0.1,0.07943282347242815,1,0.45783268999730353
82,30,FarHighWide,0.5,0.25,0.03,0.031622776601683784,1,0.5257009609995293
82,31,FarLowWide,0.03,0.25,0.5,0.07943282347242815,1,0.612149333999696
