Participant_Number,Trial_Number,Condition,FCfar,FCmed,FCclose,Target_Contrast,Correct_Response,Reaction_Time
81,0,Constant,0.1,0.1,0.1,0.1,1,1.077318371999354
81,1,FarLowWide,0.03,0.25,0.5,0.1,1,0.3518292520002433
81,2,FarHighNarrow,0.2,0.15,0.1,0.1,1,0.2862105669992161
81,3,ThreeLinesControl,0.0,0.0,0.1,0.1,1,0.3962314829987008
81,4,FarHighWide,0.5,0.25,0.03,0.1,1,0.2554872909986443
81,5,FarHighWide,0.5,0.25,0.03,0.07943282347242815,1,0.2775967639990995
81,6,FarLowWide,0.03,0.25,0.5,0.07943282347242815,1,0.3077039429990691
81,7,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.3277918470012082
81,8,Constant,0.1,0.1,0.1,0.07943282347242815,1,0.270081554999706
81,9,ThreeLinesControl,0.0,0.0,0.1,0.07943282347242815,1,0.2921152750004694
81,10,ThreeLinesControl,0.0,0.0,0.1,0.06309573444801932,1,0.32917557200016745
81,11,ThreeLinesControl,0.0,0.0,0.1,0.05011872336272722,1,0.24692805400081852
81,12,ThreeLinesControl,0.0,0.0,0.1,0.03981071705534971,1,0.28586342400012654
81,13,ThreeLinesControl,0.0,0.0,0.1,0.031622776601683784,1,0.30788017799932277
81,14,FarLowNarrow,0.1,0.15,0.2,0.1,1,0.2656879019996268
81,15,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,0.3683381359987834
81,16,ThreeLinesControl,0.0,0.0,0.1,0.02511886431509579,1,0.4051157140002033
81,17,FarLowNarrow,0.1,0.15,0.2,0.07943282347242815,1,0.31618568299927574
81,18,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.27934262799863063
81,19,FarHighNarrow,0.2,0.15,0.1,0.07943282347242815,1,0.27762636300030863
81,20,FarLowWide,0.03,0.25,0.5,0.06309573444801932,1,0.26395317500100646
81,21,FarHighWide,0.5,0.25,0.03,0.031622776601683784,1,0.38299256900063483
81,22,ThreeLinesControl,0.0,0.0,0.1,0.01995262314968879,0,99
