Participant_Number,Trial_Number,Condition,FCfar,FCmed,FCclose,Target_Contrast,Correct_Response,Reaction_Time
86,0,FarHighWide,0.5,0.25,0.03,0.1,1,0.4602762979993713
86,1,ThreeLinesControl,0.0,0.0,0.1,0.1,1,0.5954889159984305
86,2,FarHighNarrow,0.2,0.15,0.1,0.1,1,0.505628617000184
86,3,FarHighNarrow,0.2,0.15,0.1,0.07943282347242815,1,0.29615223800283275
86,4,FarLowWide,0.03,0.25,0.5,0.1,1,0.20374875299967243
86,5,FarHighNarrow_null,0.2,0.15,0.1,0.1,0,0.19299642700207187
86,6,FarLowWide,0.03,0.25,0.5,0.07943282347242815,1,0.34911451400330407
86,7,FarHighNarrow,0.2,0.15,0.1,0.06309573444801932,1,0.2982125010021264
86,8,FarLowWide,0.03,0.25,0.5,0.06309573444801932,1,0.2481648339999083
86,9,FarHighNarrow,0.2,0.15,0.1,0.05011872336272722,1,0.23539358800189802
86,10,FarLowWide,0.03,0.25,0.5,0.05011872336272722,1,0.2256593639976927
86,11,Constant,0.1,0.1,0.1,0.1,1,0.2318413290013268
86,12,FarLowWide,0.03,0.25,0.5,0.03981071705534971,1,0.21372586299912655
86,13,FarLowNarrow,0.1,0.15,0.2,0.1,1,0.25209527100014384
86,14,FarLowNarrow_null,0.1,0.15,0.2,0.1,1,0.32985542499955045
86,15,ThreeLinesControl,0.0,0.0,0.1,0.07943282347242815,1,0.17505664500276907
86,16,FarLowWide,0.03,0.25,0.5,0.031622776601683784,1,0.21361207999871112
86,17,FarLowWide,0.03,0.25,0.5,0.02511886431509579,1,0.30034530099874246
86,18,FarHighNarrow,0.2,0.15,0.1,0.03981071705534971,1,0.30711353899823735
86,19,ThreeLinesControl,0.0,0.0,0.1,0.06309573444801932,1,0.3054474290001963
86,20,FarHighWide,0.5,0.25,0.03,0.07943282347242815,1,0.3731104700018477
86,21,FarLowNarrow_null,0.1,0.15,0.2,0.07943282347242815,1,0.5153792410019378
86,22,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.329176021998137
86,23,FarHighNarrow,0.2,0.15,0.1,0.031622776601683784,1,0.22060650100320345
86,24,Constant,0.1,0.1,0.1,0.07943282347242815,1,0.29864820100192446
86,25,FarHighNarrow,0.2,0.15,0.1,0.02511886431509579,1,0.3500190720005776
86,26,FarHighNarrow,0.2,0.15,0.1,0.01995262314968879,1,0.332056110000849
86,27,FarHighNarrow,0.2,0.15,0.1,0.015848931924611127,1,0.25031685900103184
86,28,FarLowNarrow,0.1,0.15,0.2,0.07943282347242815,1,0.3203564550021838
86,29,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,0.3574354319971462
86,30,FarLowNarrow,0.1,0.15,0.2,0.06309573444801932,1,0.4276811240015377
86,31,FarHighNarrow,0.2,0.15,0.1,0.012589254117941666,1,0.54579666599966
86,32,FarHighNarrow_null,0.2,0.15,0.1,0.1,1,0.44798055199862574
86,33,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.31835775900253793
86,34,FarHighNarrow,0.2,0.15,0.1,0.009999999999999995,1,0.46948692700243555
