Participant_Number,Trial_Number,Condition,FCfar,FCmed,FCclose,Target_Contrast,Correct_Response,Reaction_Time
83,0,FarLowWide,0.03,0.25,0.5,0.1,1,0.7604154630000721
83,1,ThreeLinesControl,0.0,0.0,0.1,0.1,0,99
83,2,FarLowNarrow,0.1,0.15,0.2,0.1,1,0.33873272499999985
83,3,FarHighWide,0.5,0.25,0.03,0.1,1,0.4088661299999785
83,4,FarHighWide,0.5,0.25,0.03,0.07943282347242815,1,0.33211811000001035
83,5,Constant,0.1,0.1,0.1,0.1,1,0.1780786699998771
83,6,FarHighNarrow,0.2,0.15,0.1,0.1,1,0.26443608399995355
83,7,FarLowNarrow,0.1,0.15,0.2,0.07943282347242815,1,0.11638397000001532
83,8,FarLowWide,0.03,0.25,0.5,0.07943282347242815,1,0.16268418399999973
83,9,FarLowNarrow,0.1,0.15,0.2,0.06309573444801932,1,0.12884731299982377
83,10,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.15893187300002865
83,11,ThreeLinesControl_null,0.0,0.0,0.1,0.1,1,0.5000220120000449
83,12,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,0.38620385500007615
83,13,FarHighNarrow_null,0.2,0.15,0.1,0.1,0,0.31350402199996097
83,14,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.3296357670001271
83,15,ThreeLinesControl,0.0,0.0,0.1,0.1,1,0.3177642040000137
83,16,FarLowNarrow,0.1,0.15,0.2,0.05011872336272722,1,0.20392979200005357
83,17,FarLowNarrow,0.1,0.15,0.2,0.03981071705534971,1,0.2658366759999353
83,18,FarLowNarrow,0.1,0.15,0.2,0.031622776601683784,1,0.13311815800011573
83,19,FarHighWide,0.5,0.25,0.03,0.031622776601683784,1,0.2032464850001361
83,20,FarHighNarrow,0.2,0.15,0.1,0.07943282347242815,1,0.32141653500002576
83,21,FarLowNarrow_null,0.1,0.15,0.2,0.1,0,0.3644142670000292
83,22,Constant,0.1,0.1,0.1,0.07943282347242815,1,0.21081346200003281
83,23,FarHighNarrow_null,0.2,0.15,0.1,0.1,1,0.42381559300019944
83,24,FarLowWide,0.03,0.25,0.5,0.06309573444801932,1,0.14906094700018002
83,25,FarLowWide,0.03,0.25,0.5,0.05011872336272722,1,0.15502638899988597
83,26,Constant,0.1,0.1,0.1,0.06309573444801932,1,0.2489260350000677
83,27,FarLowNarrow,0.1,0.15,0.2,0.02511886431509579,1,0.19930179299990414
